value_date,domestic_aviation,total_ets_emissions,ground_transport,total_co2_emissions,power,industry,country,frequency,super_region
2020-12-31,3812.879673077596,262429.8980759797,362900.8890918666,625330.7871678463,163763.17653061592,94853.84187228623,France,monthly,EU
2021-01-31,3452.1624326003853,316867.76910942385,328887.06618502404,645754.8352944478,210070.0703583577,103345.53631846575,France,monthly,EU
2021-02-28,3101.3808517548964,300873.81965663657,307574.63388192654,608448.4535385631,157939.801993179,139832.6368117027,France,monthly,EU
2021-03-31,2934.061201779842,296966.2331238199,299167.63511499733,596133.8682388172,140492.3391505907,153539.83277144935,France,monthly,EU
2021-04-30,3052.922077726724,276022.7387152977,308502.6262703122,584525.3649856099,105933.72893935797,167036.087698213,France,monthly,EU
2021-05-31,3612.521830949813,206852.84901114774,359628.31114604103,566481.1601571888,45404.524473464044,157835.8027067339,France,monthly,EU
2021-06-30,4856.609759424012,216556.8863152921,445104.49587710196,661661.382192394,55832.20927740731,155868.06727846077,France,monthly,EU
2019-03-31,9289.95504689548,256079.96571766178,,,104195.29420948031,142594.71646128598,France,monthly,EU
2019-04-30,10191.98992076647,231833.33405130982,,,73910.3424791389,147731.00165140445,France,monthly,EU
2022-09-30,31333.6544420847,354424.93144957395,388286.6397734434,742711.5712230173,228242.74522801922,94848.53177947,United Kingdom,monthly,
2020-07-31,1904.198447465326,266646.16163120954,276677.69990109565,543323.8615323051,164372.76629439654,100369.19688934766,United Kingdom,monthly,
2020-08-31,4205.24396412192,265170.7225617951,260625.6172843171,525796.3398461122,181437.62280261298,79527.85579506018,United Kingdom,monthly,
2019-08-31,13900.483007266372,225180.5762642676,,,71191.15978769753,140088.9334693037,France,monthly,EU
2019-09-30,14447.069722361342,250711.14279311575,,,94549.85352704053,141714.2195437139,France,monthly,EU
2019-10-31,13033.95526938466,234086.42310613435,,,102191.62983830106,118860.83799844861,France,monthly,EU
2019-11-30,11167.710817490797,349644.98563186754,,,197973.31770070372,140503.95711367304,France,monthly,EU
2019-12-31,10729.539044416391,312816.4031215714,,,145180.04839390056,156906.81568325442,France,monthly,EU
2020-01-31,10547.268893919103,320795.55483304313,,,174687.65691969846,135560.62901942554,France,monthly,EU
2020-02-29,11159.845430486359,270788.2878178599,251889.2513115266,522677.53912938654,132450.17375203353,127178.26863534,France,monthly,EU
2020-03-31,8168.439224963533,230967.3718856307,250574.036070331,481541.4079559617,114667.16657071163,108131.76608995553,France,monthly,EU
2020-04-30,2446.6874474720757,122171.94259303018,253499.68818928915,375671.63078231935,25945.167396429337,93780.08774912875,France,monthly,EU
2016-02-29,25768.509589041096,1204915.586465396,,,916785.0262190496,262362.05065730517,Germany,monthly,EU
2016-03-31,25768.509589041096,1231567.8075443031,,,937385.190821881,268414.10713338107,Germany,monthly,EU
2016-04-30,25768.509589041096,1213483.6896787474,,,891679.6470711197,296035.5330185866,Germany,monthly,EU
2016-05-31,25768.509589041096,1142307.5906024422,,,771079.1782843028,345459.90272909834,Germany,monthly,EU
2016-06-30,25768.509589041096,1192622.2530933432,,,840575.0451092619,326278.6983950401,Germany,monthly,EU
2016-07-31,25768.509589041096,1181755.4302204833,,,826303.3038926496,329683.6167387927,Germany,monthly,EU
2016-08-31,25768.509589041096,1189075.8102038815,,,814381.9635088652,348925.337105975,Germany,monthly,EU
2016-09-30,25768.509589041096,1288773.9396283226,,,931238.2820000764,331767.1480392051,Germany,monthly,EU
2016-10-31,25768.509589041096,1320957.5892088173,,,967458.3441366045,327730.7354831718,Germany,monthly,EU
2016-11-30,25768.509589041096,1392790.0504933367,,,1003863.9417060169,363157.59919827874,Germany,monthly,EU
2016-12-31,25768.509589041096,1336433.0581786295,,,953095.5534170325,357568.9951725559,Germany,monthly,EU
2017-01-31,25313.854794520546,1443845.0186312362,,,1097857.450125315,320673.7137114006,Germany,monthly,EU
2017-02-28,25313.854794520546,1324107.654236323,,,989046.2802100029,309747.51923179947,Germany,monthly,EU
2017-07-31,5221.334246575342,530501.772706068,,,327868.65943848976,197411.77902100288,Italy,monthly,EU
2017-08-31,5221.334246575342,457561.37887879484,,,309114.8651998145,143225.17943240498,Italy,monthly,EU
2017-09-30,5221.334246575342,461327.4242665764,,,297765.29042923957,158340.79959076148,Italy,monthly,EU
2017-10-31,5221.334246575342,518311.8561934639,,,318543.2265135512,194547.2954333373,Italy,monthly,EU
2017-11-30,5221.334246575342,575716.1889490951,,,374171.11095281143,196323.74374970826,Italy,monthly,EU
2017-12-31,5221.334246575342,529059.8136656407,,,340284.58867478435,183553.89074428097,Italy,monthly,EU
2018-01-31,5170.813698630137,407925.3361357049,,,268253.1886328499,134501.33380422485,Italy,monthly,EU
2018-02-28,5170.813698630137,458227.08537988533,,,281177.23463819496,171879.03704306023,Italy,monthly,EU
2018-03-31,5170.813698630137,433128.9941945183,,,253806.6683587463,174151.51213714186,Italy,monthly,EU
2016-01-31,5419.668493150685,511700.3249365441,,,336901.4364316399,169379.22001175352,Italy,monthly,EU
2016-02-29,5419.668493150685,454336.7476276765,,,273376.2804131827,175540.7987213432,Italy,monthly,EU
2016-03-31,5419.668493150685,414086.76129601366,,,245023.65334611436,163643.43945674863,Italy,monthly,EU
2016-04-30,5419.668493150685,389704.86011850747,,,219019.62322221568,165265.56840314108,Italy,monthly,EU
2016-05-31,5419.668493150685,367178.83314274886,,,208785.37200316435,152973.7926464338,Italy,monthly,EU
2016-06-30,5419.668493150685,395256.78971920087,,,214717.42686947275,175119.69435657744,Italy,monthly,EU
2016-07-31,5419.668493150685,423357.0368678748,,,263905.0573941877,154032.3109805364,Italy,monthly,EU
2016-08-31,5419.668493150685,403535.8197072448,,,243475.18827131612,154640.96294277802,Italy,monthly,EU
2019-08-31,45349.605544237114,377049.9963476004,,,169240.10025958245,162460.2905437808,Spain,monthly,EU
2019-09-30,45519.783625306605,332681.41106587305,,,152085.141101191,135076.48633937546,Spain,monthly,EU
2019-10-31,39316.48270721979,337904.19622167014,,,161015.60875511475,137572.10475933563,Spain,monthly,EU
2019-11-30,25650.448485237896,313897.2030060528,,,131719.8978295512,156526.85669126373,Spain,monthly,EU
2019-12-31,26068.89621001249,261254.17671289347,,,101649.6692745512,133535.6112283298,Spain,monthly,EU
2017-08-31,18583.405479452056,396721.8623220092,,,209501.8024969741,168636.65434558305,Spain,monthly,EU
2017-09-30,18583.405479452056,397017.96065272583,,,206277.7781294927,172156.77704378107,Spain,monthly,EU
2017-10-31,18583.405479452056,433938.9343722808,,,252803.12997059908,162552.39892222962,Spain,monthly,EU
2017-11-30,18583.405479452056,491553.2984514052,,,302600.9800899772,170368.91288197596,Spain,monthly,EU
2017-12-31,18583.405479452056,419887.7139785062,,,250354.34767641663,150949.96082263757,Spain,monthly,EU
2018-01-31,29466.167123287672,356930.2111287939,,,196257.93749605858,131206.10650944762,Spain,monthly,EU
2018-02-28,29466.167123287672,361759.17761381285,,,225395.28733768378,106897.72315284137,Spain,monthly,EU
2018-03-31,29466.167123287672,323694.3609835876,,,113997.23073844622,180230.96312185374,Spain,monthly,EU
2021-08-31,9459.141815144614,210959.3031742878,586069.919430991,797029.2226052788,37342.889572370594,164157.2717867726,France,monthly,EU
2021-09-30,8499.256646568363,269863.7070576987,494810.981629233,764674.6886869317,91833.70437570666,169530.74603542365,France,monthly,EU
2021-10-31,8275.755624208146,279520.6145682768,483431.91337111377,762952.5279393906,105062.8881736349,166181.97077043378,France,monthly,EU
2021-11-30,7964.7910359871685,369750.4307282494,483704.44961079647,853454.8803390459,203511.48916362738,158274.1505286349,France,monthly,EU
2021-12-31,7760.714075489697,352768.02669644717,417095.8450388867,769863.8717353339,188820.64305256424,156186.66956839323,France,monthly,EU
2022-01-31,6527.19881189101,369666.35626912053,376155.00439577416,745821.3606648947,220288.26042244976,142850.89703477974,France,monthly,EU
2022-02-28,6456.41320025744,331194.58991331956,386538.073843861,717732.6637571806,177255.0636715986,147483.11304146354,France,monthly,EU
2022-03-31,7296.294659697934,329551.4161615384,440102.70477657643,769654.1209381148,172659.33806744852,149595.78343439195,France,monthly,EU
2022-04-30,8796.927051816567,227608.88648811667,415973.2983137391,643582.1848018558,109099.96607047254,109711.99336582754,France,monthly,EU
2022-05-31,10380.111786658179,232887.39496453523,465834.3445227936,698721.7394873288,92108.49444178684,130398.78873609021,France,monthly,EU
2022-06-30,11432.839958438959,217387.82183258297,465530.86610080214,682918.6879333851,83688.76392927131,122266.21794487267,France,monthly,EU
2022-07-31,12396.992324251276,252014.05253892293,437377.2951072345,689391.3476461575,101425.89635702079,138191.16385765086,France,monthly,EU
2022-08-31,12557.723167135033,239366.05684385955,421480.00985663396,660846.0667004935,92795.89727433678,134012.43640238774,France,monthly,EU
2021-07-31,11613.330262766274,264237.2974325239,286448.7988735134,550686.0963060374,102302.16406410758,150321.8031056501,Spain,monthly,EU
2021-08-31,16905.0424389241,258929.22952978621,330232.42991664895,589161.6594464352,104885.34742067844,137138.83967018366,Spain,monthly,EU
2021-09-30,16415.517714686055,287537.7346494102,277917.04473624914,565454.7793856594,130143.38144294446,140978.83549177967,Spain,monthly,EU
2021-10-31,13824.67805046377,296785.7769162749,264994.2300460704,561780.0069623453,120242.48370035678,162718.61516545434,Spain,monthly,EU
2021-11-30,9217.622936441487,310398.04494097835,267567.687966515,577965.7329074934,157682.79456247346,143497.62744206336,Spain,monthly,EU
2021-12-31,10371.499042850686,264460.8024498109,259526.7685974327,523987.5710472436,139365.86589605772,114723.43751090248,Spain,monthly,EU
2022-01-31,7637.941937402061,304939.46864536486,240097.86373779565,545037.3323831605,150719.421174864,146582.1055330988,Spain,monthly,EU
2022-02-28,7736.40193197166,278195.92404380976,232284.0248699107,510479.94891372044,135894.00264145716,134565.51947038094,Spain,monthly,EU
2022-03-31,9619.972617911315,253781.9278208439,271558.6527731638,525340.5805940077,120169.54360752052,123992.41159541205,Spain,monthly,EU
2022-04-30,15742.707244307618,245717.9651404371,250605.02069468645,496322.9858351236,103974.59484634847,126000.66304978101,Spain,monthly,EU
2018-04-30,5170.813698630137,366166.0329024025,,,178345.36824339617,182649.85096037624,Italy,monthly,EU
2018-05-31,5170.813698630137,317733.82876227924,,,186815.05880453662,125747.95625911247,Italy,monthly,EU
2018-06-30,5170.813698630137,360536.0607237628,,,192566.2985034768,162798.94852165587,Italy,monthly,EU
2018-07-31,5170.813698630137,422927.2744115628,,,254564.3997566253,163192.06095630734,Italy,monthly,EU
2018-08-31,5170.813698630137,414366.0272329257,,,243507.56336452928,165687.6501697663,Italy,monthly,EU
2018-09-30,5170.813698630137,448642.6653743191,,,285439.0521678076,158032.7995078814,Italy,monthly,EU
2017-05-31,18583.405479452056,363049.7995597478,,,197248.52661584673,147217.86746444902,Spain,monthly,EU
2017-06-30,18583.405479452056,429433.0791930393,,,261931.35718259306,148918.31653099417,Spain,monthly,EU
2017-07-31,18583.405479452056,419777.776089629,,,256233.77159941592,144960.59901076098,Spain,monthly,EU
2018-10-31,5170.813698630137,475374.87838508835,,,259907.09531350917,210296.969372949,Italy,monthly,EU
2018-11-30,5170.813698630137,456907.1153131021,,,262574.21544830705,189162.08616616487,Italy,monthly,EU
2018-12-31,5170.813698630137,442481.9533257444,,,269744.745326241,167566.39430087325,Italy,monthly,EU
2019-01-31,4615.225447481411,437961.3761974438,,,285016.8655044993,148329.28524546308,Italy,monthly,EU
2019-02-28,4978.227653648258,415190.7329798488,,,241971.92681011907,168240.5785160815,Italy,monthly,EU
2019-03-31,4975.038372117807,402774.5594325273,,,214127.92986298064,183671.59119742885,Italy,monthly,EU
2019-04-30,5222.166105728535,383924.07696859393,,,207703.89021369765,170998.02064916774,Italy,monthly,EU
2019-05-31,4821.374280550868,309745.0146364245,,,173924.8864716542,130998.75388421945,Italy,monthly,EU
2019-06-30,5991.663987088812,376272.58709594497,,,205596.17468293672,164684.74842591942,Italy,monthly,EU
2019-07-31,6496.043484439672,427927.4235655284,,,256479.11607887136,164952.26400221742,Italy,monthly,EU
2019-08-31,6799.71310614518,366687.29881240276,,,221957.73709969217,137929.84860656547,Italy,monthly,EU
2019-09-30,6268.17713658988,398649.5418085638,,,249528.02655382722,142853.3381181467,Italy,monthly,EU
2019-10-31,5404.492176886712,420728.39634722465,,,242810.84046807894,172513.06370225898,Italy,monthly,EU
2019-11-30,5406.568344255077,391021.8586436883,,,222983.7202278016,162631.57007163164,Italy,monthly,EU
2019-12-31,5350.347155924516,370964.1386633661,,,202125.32448095677,163488.46702648475,Italy,monthly,EU
2022-05-31,21413.995937178122,273125.8822299281,272371.75893655,545497.6411664782,110078.79170740827,141633.09458534172,Spain,monthly,EU
2022-06-30,25211.333375631726,284935.58257361664,278637.47985360085,563573.0624272175,158215.42901292667,101508.82018505824,Spain,monthly,EU
2022-07-31,28366.489178826607,341544.1111649712,270247.5989689132,611791.7101338843,178773.79463458355,134403.82735156105,Spain,monthly,EU
2022-08-31,30293.362025010483,337511.19029039063,268220.5832434521,605731.7735338428,167091.7580318618,140126.07023351837,Spain,monthly,EU
2016-01-31,17526.893150684933,333892.0862945723,,,165833.71594184721,150531.47720204014,Spain,monthly,EU
2016-02-29,17526.893150684933,315860.11508901935,,,129573.39589626674,168759.82604206767,Spain,monthly,EU
2020-09-30,3349.081410845502,403005.34171614924,237406.35336565753,640411.6950818067,247381.54621080708,152274.71409449665,Italy,monthly,EU
2020-10-31,2479.4889517378933,386697.958549979,215006.6198739248,601704.5784239038,195672.06454451138,188546.40505372974,Italy,monthly,EU
2020-11-30,1669.1747729248814,423314.74085677776,179331.35442374847,602646.0952805262,225526.38529788877,196119.1807859641,Italy,monthly,EU
2020-12-31,1439.0745928472247,385012.12276149995,169565.19710867418,554577.3198701742,230527.52889214773,153045.51927650502,Italy,monthly,EU
2021-01-31,1343.1816654127585,358631.28215913294,172387.31417143595,531018.5963305689,226323.26017871787,130964.84031500235,Italy,monthly,EU
2021-02-28,1158.6999053260292,375368.69429416035,194562.4435940164,569931.1378881767,204367.84682348015,169842.14756535421,Italy,monthly,EU
2021-03-31,1346.7259451872285,373940.4218760236,183827.2661313761,557767.6880073997,189148.2395123557,183445.45641848067,Italy,monthly,EU
2021-04-30,1556.6454785578521,354666.505272738,206368.57398368433,561035.0792564224,193149.53933917277,159960.32045500737,Italy,monthly,EU
2023-03-31,23725.908529831177,920160.3616293966,530379.2330996791,1450539.5947290757,621890.5700063434,274543.883093222,Germany,monthly,EU
